title,code,url,types,featured,applications_open,applications_close,intake,duration,fees,area_of_interest
Graduate Diploma in Curriculum and Teaching,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-curriculum-and-teaching,Graduate Studies,TRUE,16-Apr-25,15-Oct-25,Jan-26,,,Adult Learning
Graduate Diploma in Education,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-education,Graduate Studies,TRUE,16-Apr-25,15-Oct-25,Jan-26,,,Adult Learning
Master of Education,,https://www.suss.edu.sg/programmes/detail/master-of-education,Graduate Studies,TRUE,16-Apr-25,15-Oct-25,Jan-26,,,Adult Learning
Graduate Diploma in Learning Design and Technology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-learning-design-and-technology,Graduate Studies,TRUE,16-Apr-26,15-Oct-26,Jan-27,,,Adult Learning
Doctor of Philosophy (Gerontology),,https://www.suss.edu.sg/programmes/detail/phd-in-gerontology-phger,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Gerontology
Graduate Certificate in Gerontology,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-gerontology,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
Graduate Certificate in Human Capital Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-human-capital-management,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Management
Graduate Certificate in Taxation,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-taxation,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Expressive Arts Therapy,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-expressive-arts-therapy-gdxat,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Social Services
Graduate Diploma in Gerontology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-gerontology-gdger,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
Graduate Diploma in Human Capital Management,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-human-capital-management-gdhcm,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Management
Graduate Diploma in Professional Life-coaching,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-professional-life-coaching-gdplc,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Adult Learning
Graduate Diploma in Learning Design and Technology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-learning-design-and-technology,Graduate Studies,TRUE,16-Apr-26,15-Oct-26,Jan-27,,,Adult Learning
Doctor of Philosophy (Gerontology),,https://www.suss.edu.sg/programmes/detail/phd-in-gerontology-phger,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Gerontology
Graduate Certificate in Gerontology,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-gerontology,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
Graduate Certificate in Human Capital Management,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-human-capital-management,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Management
Graduate Certificate in Taxation,,https://www.suss.edu.sg/programmes/detail/graduate-certificate-in-taxation,Graduate Certificate,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Business Administration
Graduate Diploma in Expressive Arts Therapy,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-expressive-arts-therapy-gdxat,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,Social Services
Graduate Diploma in Gerontology,,https://www.suss.edu.sg/programmes/detail/graduate-diploma-in-gerontology-gdger,Graduate Studies,FALSE,16-Apr-24,15-Apr-25,Jul-25,,,"Business Administration, International Trade, Science and Technology"
